chloroform/n-hexane,340,1.42,15
chloroform/n-heptane,293,1.47,15
chloroform/n-octane,293,1.43,15
chloroform/n-hexadecane,293,1.1,15
chloroform/n-hexadecane,303,1.06,15
chloroform/n-hexadecane,313,1.01,15
carbon tetrachloride/n-hexane,301,1.2,15
carbon tetrachloride/n-hexane,315,1.2,15
carbon tetrachloride/n-hexane,332,1.19,15
carbon tetrachloride/n-hexane,340,1.16,15
carbon tetrachloride/n-heptane,293,1.2,15
carbon tetrachloride/n-octane,293,1.17,15
carbon tetrachloride/n-octane,328,1.11,15
carbon tetrachloride/n-hexadecane,313,0.8,15
carbon tetrachloride/n-hexadecane,320,0.8,15
carbon tetrachloride/n-hexadecane,327,0.78,15
carbon tetrachloride/n-hexadecane,333,0.78,15
carbon tetrachloride/n-octacosane,353,0.58,15
carbon tetrachloride/n-octacosane,373,0.59,15
carbon tetrachloride/n-octacosane,393,0.58,15
DMF/n-hexane,303,32.62,7
DMF/n-hexane,313,27.19,7
DMF/n-heptane,333,17.3,7
DMF/n-octane,313,17.8,7
DMF/n-octane,333,14.4,7
DMF/n-nonane,313,16.69,7
DMF/n-nonane,333,13.69,7
DMF/n-decane,313,15.09,7
DMF/n-decane,333,12.59,7
DMF/n-undecane,313,14.3,7
DMF/n-undecane,333,11.6,7
benzene/n-heptane,331,1.37,15
benzene/n-heptane,350,1.33,15
benzene/n-heptane,366,1.27,15
benzene/n-octane,328,1.39,15
benzene/n-octane,348,1.3,15
benzene/n-octane,388,1.2,15
benzene/n-hexadecane,293,1.11,15
benzene/n-hexadecane,298,1.06,15
benzene/n-hexadecane,303,1.05,15
benzene/n-hexadecane,312,1.04,15
benzene/n-hexadecane,313,1,15
benzene/n-hexadecane,317,1,15
benzene/n-hexadecane,323,0.99,15
benzene/n-hexadecane,333,0.89,15
benzene/n-hexadecane,343,0.62,15
benzene/n-hexadecane,363,0.59,15
benzene/n-octacosane,323,0.71,15
benzene/n-octacosane,338,0.68,15
benzene/n-octacosane,348,0.66,15
benzene/n-octacosane,353,0.65,15
benzene/n-octacosane,373,0.63,15
toluene/n-hexadecane,312,1.05,15
toluene/n-hexadecane,317,1.04,15
toluene/n-hexadecane,333,0.9,15
toluene/n-hexadecane,343,0.65,15
toluene/n-hexadecane,363,0.62,15
toluene/n-octacosane,353,0.67,15
toluene/n-octacosane,373,0.67,15
cyclohexane/ethanol,298,9.5,10
cyclohexane/ethanol,323,6.8,10,7.01,6.88,6.42,5.87,7.78,8.17
cyclohexane/ethanol,363,6.4,10,5.5,6.11,5.8,4.77,7.23,5.45
cyclohexane/n-butanol,349,3.85,16,3.34,3.25,2.87,2.86,3.43,3.57
cyclohexane/n-butanol,360,3.7,16,3.29,3.17,2.82,2.76,3.38,3.43
cyclohexane/n-butanol,370,3.61,16,3.24,3.1,2.77,2.64,3.33,3.3
cyclohexane/carbon tetrachloride,293,1.12,15
cyclohexane/carbon tetrachloride,318,1.11,15
cyclohexane/carbon tetrachloride,330,1.1,15
cyclohexane/carbon tetrachloride,341,1.09,15
cyclohexane/carbon tetrachloride,346,1.1,15
cyclohexane/DMF,333,19.09,7
cyclohexane/acetic acid,298,21.83,6
cyclohexane/acetic acid,318,18.09,6
cyclohexane/propionic acid,298,5.14,5
cyclohexane/propionic acid,318,4.58,5
cyclohexane/phenol,298,8.71,15
cyclohexane/phenol,303,7.67,15
cyclohexane/phenol,323,7.2,15
cyclohexane/phenol,358,7.1,15
cyclohexane/phenol,373,6.97,15
cycloheptane/phenol,328,8.85,15
cycloheptane/phenol,343,7.88,15
cycloheptane/phenol,358,7.42,15
cycloheptane/phenol,373,7.3,15
methylcyclopentane/phenol,318,9.6,15
methylcyclopentane/phenol,328,8.6,15
methylcyclopentane/phenol,343,8.27,15
methylcyclopentane/phenol,358,7.7,15
methylcyclopentane/phenol,373,7.64,15
methylcyclohexane/phenol,313,13.3,15
methylcyclohexane/phenol,321,12.79,15
methylcyclohexane/phenol,328,10.57,15
methylcyclohexane/phenol,333,10.2,15
methylcyclohexane/phenol,338,10.18,15
methylcyclohexane/phenol,343,9.44,15
methylcyclohexane/phenol,358,8.64,15
methylcyclohexane/phenol,373,8.45,15
ethylcyclohexane/phenol,313,15.8,15
ethylcyclohexane/phenol,321,14.9,15
ethylcyclohexane/phenol,328,12.28,15
ethylcyclohexane/phenol,343,10.64,15
ethylcyclohexane/phenol,358,9.79,15
ethylcyclohexane/phenol,373,9.03,15
cyclopentene/DMF,298,4.5,7
cyclopentene/DMF,313,4.2,7
cyclopentene/DMF,333,4,7
cyclohexene/DMF,293,6,7
cyclohexene/DMF,313,5.3,7
cyclohexene/DMF,333,4.9,7
acetone/methanol,298,2.03,10
acetone/methanol,333,1.82,10
acetone/methanol,373,1.66,10
2-butanone/methanol,298,2.36,10
2-butanone/methanol,333,2.13,10
2-butanone/methanol,373,1.96,10
3-pentanone/methanol,298,3.27,10
3-pentanone/methanol,333,2.8,10
3-pentanone/methanol,373,2.45,10
3-heptanone/methanol,298,5.59,10
3-heptanone/methanol,333,4.41,10
3-heptanone/methanol,373,3.59,10
5-nonanone/methanol,333,7.2,10
5-nonanone/methanol,373,5.2,10
acetone/ethanol,298,2.32,10
acetone/ethanol,305,2.14,10
acetone/ethanol,321,1.96,10
acetone/n-butanol,298,2.52,10
acetone/1-octanol,298,2.58,10
acetone/1-octanol,333,1.84,10
acetone/1-octanol,373,1.41,10
2-butanone/ethanol,298,2.62,10
2-butanone/n-butanol,298,1.98,10
2-butanone/n-butanol,333,1.64,10
2-butanone/n-butanol,373,1.42,10
2-butanone/1-octanol,298,2.3,10
2-butanone/1-octanol,333,1.78,10
2-butanone/1-octanol,373,1.46,10
3-pentanone/1-octanol,298,2.12,10
3-pentanone/1-octanol,333,1.56,10
3-pentanone/1-octanol,373,1.24,10
3-heptanone/n-butanol,298,2.67,10
3-heptanone/n-butanol,333,2.09,10
3-heptanone/n-butanol,373,1.72,10
acetone/n-hexane,298,6.68,1,6.28,5.74,6.84,5.62,6.01,6.32,
acetone/n-hexane,303,6.38,1,6.05,5.49,6.59,5.33,5.82,6,
acetone/n-hexane,313,5.78,1,5.65,5.02,6.13,4.81,5.47,5.45,
acetone/n-heptane,298,6.73,1,5.92,5.41,6.44,5.44,5.65,5.89,`
acetone/n-heptane,308,5.95,1,5.51,4.95,5.99,4.9,5.49,5.34,
acetone/n-heptane,333,4.9,10,4.7,4.04,5.09,3.88,4.76,4.27,
acetone/n-heptane,373,3.5,10,3.63,3.09,4.11,2.86,3.95,3.16,
acetone/n-octane,298,6.72,1,5.57,5.1,6.07,5.27,5.7,5.55,
acetone/n-decane,298,6.5,10,4.96,4.54,5.4,4.94,5.39,5.02,
acetone/n-decane,303,4.5,10,3.94,3.38,4.26,3.53,4.38,3.63,
acetone/n-decane,313,3.1,10,3.21,2.59,3.45,2.6,3.64,2.19907407407407e-05,
acetone/n-hexadecane,298,6.1,10,3.67,3.35,3.99,4.18,4.63,3.99,
acetone/n-hexadecane,333,4.2,10,2.91,2.5,3.15,2.98,3.76,2.89,
acetone/n-hexadecane,373,3.1,10,2.37,1.91,2.55,2.2,3.12,2.14,
2-butanone/n-hexane,298,5,10,5.36,4.88,5.72,4.51388888888889e-05,4.81,5.54,
2-butanone/n-hexane,333,3.7,10,4.33,3.75,4.6,3.42,3.99,4.15,
2-butanone/n-hexane,373,2.8,10,3.58,2.95,3.79,2.6,3.38,3.18,
2-butanone/n-heptane,298,4.8,10,5.14,4.51388888888889e-05,5.49,4.52,4.73,5.18,
2-butanone/n-heptane,333,3.5,10,4.15,3.6,4.41,3.34,3.92,3.88,
2-butanone/n-heptane,373,2.6,10,3.44,2.83,3.35648148148148e-05,2.55,3.32,3,
2-butanone/n-decane,298,4.8,10,4.46,4.07,4.76,4.19,4.44,4.47,
2-butanone/n-decane,333,3.5,10,3.35648148148148e-05,3.12,3.83,3.1,3.68,3.35,
2-butanone/n-decane,373,2.8,10,2.98,2.45,3.15,2.35,3.11,2.57,
2-butanone/n-hexadecane,298,4.2,10,3.41,3.1,3.64,3.62,3.89,3.62,
2-butanone/n-hexadecane,333,2.9,10,2.75,2.38,2.92,2.68,3.23,2.71,
2-butanone/n-hexadecane,373,2.3,10,2.27,1.87,2.41,2.04,2.73,2.08,
3-pentanone/n-heptane,298,3.7,10,2.77,2.58,2.85,3.59,2.52,3.48,
3-pentanone/n-heptane,333,2.9,10,2.4,2.17,2.47,2.76,2.23,2.77,
3-pentanone/n-heptane,373,2.3,10,2.12,1.87,2.18,2.19,2.01,2.25,
